ImageName,URL
1__MPX1007_synpic46719__L.png,https://openi.nlm.nih.gov/imgs/512/205/1007/MPX1007_synpic46719.png
1__MPX1007_synpic46720__L.png,https://openi.nlm.nih.gov/imgs/512/205/1007/MPX1007_synpic46720.png
1__MPX1007_synpic46721__L.png,https://openi.nlm.nih.gov/imgs/512/205/1007/MPX1007_synpic46721.png
1__MPX1007_synpic46722__L.png,https://openi.nlm.nih.gov/imgs/512/205/1007/MPX1007_synpic46722.png
1__MPX1014_synpic41745__L.png,https://openi.nlm.nih.gov/imgs/512/212/1014/MPX1014_synpic41745.png
1__MPX1014_synpic41746__L.png,https://openi.nlm.nih.gov/imgs/512/212/1014/MPX1014_synpic41746.png
1__MPX1014_synpic41747__L.png,https://openi.nlm.nih.gov/imgs/512/212/1014/MPX1014_synpic41747.png
1__MPX1014_synpic41748__L.png,https://openi.nlm.nih.gov/imgs/512/212/1014/MPX1014_synpic41748.png
1__MPX1020_synpic17477__L.png,https://openi.nlm.nih.gov/imgs/512/218/1020/MPX1020_synpic17477.png
1__MPX1020_synpic17478__L.png,https://openi.nlm.nih.gov/imgs/512/218/1020/MPX1020_synpic17478.png
1__MPX1022_synpic17356__L.png,https://openi.nlm.nih.gov/imgs/512/220/1022/MPX1022_synpic17356.png
1__MPX1022_synpic17357__L.png,https://openi.nlm.nih.gov/imgs/512/220/1022/MPX1022_synpic17357.png
1__MPX1028_synpic24627__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24627.png
1__MPX1028_synpic24628__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24628.png
1__MPX1028_synpic24629__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24629.png
1__MPX1028_synpic24630__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24630.png
1__MPX1028_synpic24631__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24631.png
1__MPX1028_synpic24632__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24632.png
1__MPX1028_synpic24633__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24633.png
1__MPX1028_synpic24634__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24634.png
1__MPX1028_synpic24635__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24635.png
1__MPX1028_synpic24641__L.png,https://openi.nlm.nih.gov/imgs/512/226/1028/MPX1028_synpic24641.png
1__MPX1029_synpic17371__L.png,https://openi.nlm.nih.gov/imgs/512/227/1029/MPX1029_synpic17371.png
1__MPX1039_synpic34347__L.png,https://openi.nlm.nih.gov/imgs/512/237/1039/MPX1039_synpic34347.png
1__MPX1039_synpic34349__L.png,https://openi.nlm.nih.gov/imgs/512/237/1039/MPX1039_synpic34349.png
1__MPX1039_synpic34350__L.png,https://openi.nlm.nih.gov/imgs/512/237/1039/MPX1039_synpic34350.png
1__MPX1039_synpic34353__L.png,https://openi.nlm.nih.gov/imgs/512/237/1039/MPX1039_synpic34353.png
1__MPX1043_synpic47071__L.png,https://openi.nlm.nih.gov/imgs/512/241/1043/MPX1043_synpic47071.png
1__MPX1043_synpic47074__L.png,https://openi.nlm.nih.gov/imgs/512/241/1043/MPX1043_synpic47074.png
1__MPX1043_synpic47075__L.png,https://openi.nlm.nih.gov/imgs/512/241/1043/MPX1043_synpic47075.png
1__MPX1043_synpic47076__L.png,https://openi.nlm.nih.gov/imgs/512/241/1043/MPX1043_synpic47076.png
1__MPX1049_synpic55185__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55185.png
1__MPX1049_synpic55186__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55186.png
1__MPX1049_synpic55187__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55187.png
1__MPX1049_synpic55188__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55188.png
1__MPX1049_synpic55189__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55189.png
1__MPX1049_synpic55190__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55190.png
1__MPX1049_synpic55191__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55191.png
1__MPX1049_synpic55192__L.png,https://openi.nlm.nih.gov/imgs/512/247/1049/MPX1049_synpic55192.png
1__MPX1051_synpic11816__L.png,https://openi.nlm.nih.gov/imgs/512/249/1051/MPX1051_synpic11816.png
1__MPX1051_synpic11817__L.png,https://openi.nlm.nih.gov/imgs/512/249/1051/MPX1051_synpic11817.png
1__MPX1051_synpic11818__L.png,https://openi.nlm.nih.gov/imgs/512/249/1051/MPX1051_synpic11818.png
1__MPX1053_synpic38935__L.png,https://openi.nlm.nih.gov/imgs/512/251/1053/MPX1053_synpic38935.png
1__MPX1053_synpic38936__L.png,https://openi.nlm.nih.gov/imgs/512/251/1053/MPX1053_synpic38936.png
1__MPX1053_synpic39272__L.png,https://openi.nlm.nih.gov/imgs/512/251/1053/MPX1053_synpic39272.png
1__MPX1054_synpic37659__L.png,https://openi.nlm.nih.gov/imgs/512/252/1054/MPX1054_synpic37659.png
1__MPX1054_synpic37661__L.png,https://openi.nlm.nih.gov/imgs/512/252/1054/MPX1054_synpic37661.png
1__MPX1060_synpic19249__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19249.png
1__MPX1060_synpic19250__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19250.png
1__MPX1060_synpic19251__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19251.png
1__MPX1060_synpic19252__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19252.png
1__MPX1060_synpic19253__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19253.png
1__MPX1060_synpic19254__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19254.png
1__MPX1060_synpic19255__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19255.png
1__MPX1060_synpic19256__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19256.png
1__MPX1060_synpic19257__L.png,https://openi.nlm.nih.gov/imgs/512/258/1060/MPX1060_synpic19257.png
1__MPX1064_synpic41380__L.png,https://openi.nlm.nih.gov/imgs/512/262/1064/MPX1064_synpic41380.png
1__MPX1064_synpic41381__L.png,https://openi.nlm.nih.gov/imgs/512/262/1064/MPX1064_synpic41381.png
1__MPX1074_synpic24653__L.png,https://openi.nlm.nih.gov/imgs/512/272/1074/MPX1074_synpic24653.png
1__MPX1074_synpic24655__L.png,https://openi.nlm.nih.gov/imgs/512/272/1074/MPX1074_synpic24655.png
1__MPX1080_synpic18323__L.png,https://openi.nlm.nih.gov/imgs/512/278/1080/MPX1080_synpic18323.png
1__MPX1080_synpic18324__L.png,https://openi.nlm.nih.gov/imgs/512/278/1080/MPX1080_synpic18324.png
